,liangyou,yinliao,yanjiu,yifu,huazhuang,zhubao,riyong,qiuqi,shu,jiadian,yaopin,wenju,jiaju,tongxun,shiyou,qiche,zhuangxiu
05/2007,115710,15650,35720,126920,19890,19330,42430,6820,17420,95390,60170,21040,8060,25470,186140,223110,9040
06/2007,136960,18800,41610,147490,23640,22510,50870,8120,20670,116070,72420,25810,9980,30270,227280,268670,11590
07/2007,158610,21980,47210,167390,27000,25690,59220,9550,23270,135990,84630,30750,11870,34940,265390,312510,13850
08/2007,181510,25350,52920,187860,30560,29430,67970,11110,25860,153680,97030,35840,13740,39870,312920,362140,16080
09/2007,207470,28840,60270,210670,34680,33410,77390,12740,31280,170420,110670,40940,15880,44940,357220,412370,18690
10/2007,232920,32130,67300,239240,39440,37560,87060,14460,36160,195500,123610,46220,18160,51030,403620,460470,21440
11/2007,257720,35110,73620,268750,44140,41440,96400,15940,40760,213890,136920,51300,20540,56110,450780,510680,24270
12/2007,285070,38260,80760,302410,48830,45980,106520,17630,45440,237070,150620,58260,23360,61170,502240,570320,27160
01/2008,30620,3620,10690,38840,4940,6370,10450,1660,2540,25640,14990,5560,2120,5580,50500,66430,1680
02/2008,66700,8340,22860,74770,10250,12830,21750,3470,6050,47630,26790,10290,3950,11460,97380,118360,2750
03/2008,93400,11770,30820,103180,14970,17980,31520,4960,9900,68210,40640,15840,6200,16400,151080,178290,4700
04/2008,118780,15150,38110,129800,19410,22650,40890,6580,13600,87570,54840,21410,8460,20900,208210,238780,6630
05/2008,144730,18970,45470,158130,24070,27610,50740,8260,17340,114660,69270,26800,10790,26210,266440,298100,9070
06/2008,171080,22770,52860,184530,28660,32400,60640,9810,20830,137330,83460,32350,13200,31330,328250,358520,11390
07/2008,197050,26770,60100,209910,33080,36960,70620,11490,23690,160980,97660,38100,15460,36290,393310,416500,13550
08/2008,223890,30940,67540,236020,37600,42350,81190,13210,26890,181990,111430,43860,17790,41440,458620,473820,15590
09/2008,253460,35290,76900,265220,42880,47760,92300,15040,31820,203800,126760,49790,20320,46890,523080,532460,17630
10/2008,281750,39300,85090,299140,48330,53170,103160,16800,36730,229070,141610,55940,22890,52550,587900,589940,19970
11/2008,309280,42860,92800,335770,53800,58250,113540,18340,41760,248740,156800,61670,25650,57100,645060,644000,21880
12/2008,339970,46660,102000,377550,59650,63700,124750,19970,47360,270660,172920,68700,28640,62040,702750,714460,23900
01/2009,43370,5740,15740,52340,6420,8530,14110,2340,2960,29840,17050,6410,2440,5610,51980,78210,2490
02/2009,76800,10360,26520,86730,11930,15340,26400,4080,7190,49840,33220,12430,5070,10600,100340,148930,4920
03/2009,107320,14290,34940,119320,17870,21260,38250,5770,11700,71640,49530,18890,7860,15660,154300,230640,7970
04/2009,136580,18480,42960,151070,23330,26910,49710,7550,15960,92500,67040,24980,10970,19980,212830,319160,11100
05/2009,168370,23160,51510,187460,29220,33930,62610,9580,20000,123660,85350,31830,14760,25320,276240,410320,14920
06/2009,198590,27890,60060,220400,34820,39830,75580,11370,24080,149700,104010,38610,18320,30380,341530,507600,19080
07/2009,229620,32970,68050,251580,40470,45640,88210,13380,27130,176820,121810,45370,21970,35730,409970,603540,22710
08/2009,262490,38030,76090,284010,46230,52450,101740,15410,30330,201310,141440,52730,25610,41330,483260,700900,26710
09/2009,297730,43370,86050,319400,52750,59110,115660,17390,35150,226950,163240,60250,29520,47200,556380,805520,30680
10/2009,333670,48520,95700,361670,59800,66580,130120,19600,40810,261900,182470,68010,33920,53340,630360,908100,35270
11/2009,367390,53160,104440,409560,66680,72870,143880,21580,46430,287280,202570,75640,38430,58510,702610,1017600,39820
12/2009,404190,58080,114350,462240,74000,80800,159230,23630,53780,315440,224220,84800,43150,63990,780140,1153650,44510
01/2010,37360,5050,13970,55190,7020,10510,14890,2130,3470,35170,21380,8780,4680,6140,75430,127310,4330
02/2010,86620,12090,32140,110530,14400,21980,31710,4490,6920,63820,40800,15850,8690,12840,141070,228810,7600
03/2010,121350,17120,43160,151040,21720,30930,47310,6690,12480,89690,64180,24790,13200,18480,218360,348530,12100
04/2010,155890,22200,53680,189690,28430,39240,62080,8960,17660,118630,87960,33720,17830,23890,300850,476730,17000
05/2010,192470,27830,64920,233170,35430,50260,78820,11470,22510,158080,112990,42010,23480,30370,387900,609070,23170
06/2010,231560,33950,77170,275360,42280,59540,94650,13920,28000,190860,137550,51230,29400,36530,474570,741380,30570
07/2010,267370,40200,88450,314100,48860,68550,111370,16350,31780,225290,161580,60200,35180,42510,561710,875450,36130
08/2010,306900,46880,100690,354050,55650,78800,128360,18790,35890,257130,187050,69750,41380,49530,651060,1016600,42610
09/2010,353740,54190,116820,400030,63450,89740,146720,21420,41590,290720,215120,79870,47910,56450,745360,1165930,50220
10/2010,399370,60900,130860,458100,71680,102140,165960,24320,47580,334360,241440,90280,55280,64060,842350,1309550,58440
11/2010,444620,67450,144800,517680,79690,113690,183540,26790,54620,366010,269480,100440,62360,70760,938760,1466400,66870
12/2010,495660,75200,160720,587420,88940,126080,203250,29870,62910,405650,298010,112260,70460,79200,1040110,1667260,75990
01/2011,60990,8160,23220,81190,9340,17170,22510,3170,3950,47650,29760,11050,7370,8410,100440,160730,7300
02/2011,121430,17060,44900,146790,17920,35130,43910,6040,8530,82720,54690,20400,14500,16570,195420,287270,14550
03/2011,172710,24390,60370,201400,27170,49590,64780,8840,15040,119270,82820,31370,22790,24000,310820,449630,23800
04/2011,221700,31740,75270,256240,35640,63260,85040,11650,21220,160490,111560,41860,31030,31450,431200,616320,33290
05/2011,274630,39750,91070,315190,44420,78430,106340,14610,27220,210210,141440,53970,40320,39690,557570,783850,44150
06/2011,330730,48460,108590,372710,53020,92060,128880,17590,34390,253330,172200,67250,50050,48530,678020,953840,56050
07/2011,384550,57200,125040,426960,61340,105210,151040,20570,39240,298290,201680,80640,59860,57680,801650,1117660,67560
08/2011,440460,65970,142620,480440,69630,120200,174230,23500,44540,338580,233010,94900,69620,67020,928180,1292190,79330
09/2011,503840,75140,164420,544950,79260,135430,198960,26560,51700,383090,267640,110780,80130,76570,1056980,1482280,92350
10/2011,565500,84100,184130,619990,89270,151490,223880,29970,59160,436530,300190,126810,91920,86520,1187030,1656860,106780
11/2011,628030,93410,204170,700550,99160,165740,249010,33050,67660,480660,334500,143110,104060,96100,1312770,1846720,122050
12/2011,700030,103810,228440,795490,110290,183720,276670,36680,77800,537490,371760,162940,118110,106970,1443730,2083800,140050
02/2012,143910,19620,52950,172570,21420,42690,54130,6430,10500,82900,68160,26430,19020,25320,236480,342740,21770
03/2012,204830,28300,71470,240940,32960,59170,79200,9320,18550,124160,106460,42230,29670,35680,378200,531250,35240
04/2012,264250,37140,89320,309250,42860,75320,103550,12490,25960,169760,143350,57650,40630,47030,517590,705580,48920
05/2012,324640,46400,107770,380730,53130,93090,129460,15580,32600,219850,182590,74020,52490,58100,656890,897680,64060
06/2012,391340,56830,129310,453770,63370,109990,157070,18880,40090,271460,223170,92930,65900,70660,795750,1095260,81770
07/2012,453280,67280,149020,518080,72840,124720,183400,22110,45060,320400,261970,110760,78360,82930,926520,1276010,96920
08/2012,519870,78410,169850,586370,83250,143400,211620,25530,50720,367950,303170,130560,91300,95700,1071880,1477950,114090
09/2012,596300,89990,196280,666510,94770,161130,241060,29240,58910,420250,349130,150730,105150,109980,1221380,1684240,131990
10/2012,672500,101760,219920,757290,107720,179460,271100,32960,66390,478120,388920,171970,120640,123720,1370500,1881550,151650
11/2012,753280,113570,245170,861090,120450,198500,302210,36620,76370,528650,433950,195040,137530,138580,1517850,2114000,173950
12/2012,842010,126160,272940,977780,134010,220940,336410,41080,87610,593580,481360,218260,160410,153980,1665680,2380340,197790
02/2013,173110,23730,62010,201070,26330,52970,63390,7360,10190,101530,84540,31810,24170,31430,269220,405120,28020
03/2013,245480,34580,83890,285850,40450,75920,93920,10830,18070,152120,129790,50390,38890,46930,424410,623640,45270
04/2013,316920,45400,104950,366150,52900,106470,123060,14380,25850,208310,176450,67450,53110,61820,573370,843210,62230
05/2013,391290,57170,127260,451450,64940,133460,154430,17860,32950,267830,223940,87550,68410,78220,722830,1077250,81010
06/2013,472790,70290,151970,541500,78850,157710,187040,21390,41200,326920,274930,108630,84980,95330,876590,1319610,102950
07/2013,548490,83190,175680,617360,90100,180500,218420,24950,46810,381240,322040,129140,100280,111980,1025610,1546150,123030
08/2013,627440,96540,200310,696290,102960,203500,251240,28260,52650,434510,369280,150160,116440,128250,1183420,1780230,144080
09/2013,720830,110970,231840,791340,118240,225620,287250,32570,61920,495430,425590,171990,134020,144920,1347880,2039570,168050
10/2013,810650,124780,259430,892100,132820,247450,320740,36520,70400,562120,477170,193430,153460,163260,1517050,2289740,193170
11/2013,901230,138670,289110,1008230,147850,269060,356500,40480,81310,622540,531470,217040,173300,182920,1682160,2559260,219660
12/2013,1006510,153420,323390,1141430,162490,295930,396230,45310,93060,694450,592350,243550,195750,203730,1855250,2888500,250360
02/2014,197900,27150,68560,216560,29080,58600,67200,7420,12140,105930,101370,34600,27680,34890,286430,487790,32240
03/2014,281910,39210,92700,305830,44900,80840,99450,11210,21280,160710,154410,53810,44960,52590,454220,753240,51780
04/2014,364280,51790,116330,394470,58640,101110,131300,14750,29300,217930,210080,72120,61310,71790,617520,1013870,71650
05/2014,438480,62340,137510,478440,70810,123140,162940,18060,36770,280340,260540,91820,76310,89320,778140,1248300,88760
06/2014,548460,80220,169510,588590,88570,149730,203360,22360,46900,353660,322380,115340,98570,113740,963730,1569420,119030
07/2014,637890,94620,195370,672830,102420,168930,238440,26120,52920,415750,378530,134940,116980,134220,1131650,1832070,142100
08/2014,732680,109020,223590,764210,116770,195280,275350,29790,58790,473750,434430,157400,135840,155040,1303580,2087690,164940
09/2014,835500,124210,255150,864820,130750,219090,312650,34220,69080,536260,495690,180100,155900,175850,1462200,2374390,189490
10/2014,944010,140360,287640,983490,147580,244780,353110,38630,78430,611410,558240,203750,178860,202420,1650580,2669370,217490
11/2014,1051450,156010,320290,1108710,163960,268050,393660,42650,90580,678750,621460,227460,201310,233360,1818490,2937380,246470
12/2014,1176410,173980,359550,1256290,182470,297310,438980,46670,103580,760330,696040,257730,227270,268510,1997470,3339700,281520
02/2015,223030,30270,74520,232870,32170,56400,76250,7950,12120,116920,119050,37860,29790,49190,266680,554940,34860
03/2015,319990,43950,101260,330160,49730,81930,112830,11830,22260,178160,176960,60800,48610,73330,420240,820460,55810
04/2015,412350,57780,126990,426780,64510,104550,148210,15730,30610,238460,239560,81920,66400,99410,569420,1093490,77310
05/2015,511260,73000,154730,530520,80500,130790,185910,19930,39170,306870,300640,103920,85970,126890,726650,1376520,101080
06/2015,624070,90300,185730,637520,97970,154740,226880,24750,49420,382040,367970,130970,107840,158020,889290,1674460,128040
07/2015,726980,106740,214920,730300,112920,176400,265620,29000,55940,448100,431350,154690,127400,185190,1045240,1945460,152420
08/2015,836100,124110,246020,825530,129090,201430,304800,33410,62180,514250,495970,178810,147660,212640,1198660,2221880,178010
09/2015,961620,142450,283720,936390,147030,224990,346610,38600,73320,585790,568630,208220,169820,245140,1356170,2528180,206130
10/2015,1084700,159720,318220,1059610,165140,250410,390150,43300,83250,660240,633820,234730,193590,281590,1513790,2845230,235760
11/2015,1197580,176630,350770,1195350,184390,274200,435050,49040,96230,737260,706610,262550,216100,320150,1674160,3179820,266820
12/2015,1355330,196130,395100,1348350,204940,306930,484180,54120,110050,826950,789550,296270,244500,346970,1845010,3600630,306030
02/2016,250610,32990,78810,245120,35590,54100,82040,9360,12130,123030,125560,40750,34740,58240,266100,582060,39020
03/2016,357990,47490,107880,348200,54800,75850,121810,14000,22050,189870,194190,65370,56100,86720,420140,885190,62260
04/2016,464580,63010,137000,455660,71660,99160,161690,18950,30530,257540,259790,89600,77350,117020,564130,1181920,87980
05/2016,575030,79250,167090,564990,89040,123040,205360,23920,39130,323280,326690,113920,99300,147270,714270,1494820,115280
06/2016,700120,98250,200960,681620,107280,147660,251830,29360,48780,407590,398140,144020,124950,182940,881540,1826980,144510
07/2016,814270,116540,232350,784140,123510,168530,294600,33970,55260,479980,463330,169190,147060,213760,1034300,2131290,172350
08/2016,932870,135370,266430,882750,140140,191650,338180,38580,61500,550170,531100,196370,169620,244080,1192700,2447910,201120
09/2016,1071560,155420,306900,1002050,159500,217520,385810,44070,72190,628230,609800,226920,194310,277050,1352520,2808580,231820
10/2016,1204600,174530,343190,1131000,177960,242530,432380,49320,81460,708340,680610,256360,221300,310000,1519220,3155380,263340
11/2016,1345800,194490,383280,1277170,199360,266400,487210,56320,94910,802460,759820,292460,247860,350250,1687690,3548460,297380
12/2016,1505500,217500,430000,1443300,222200,299600,546700,63480,108940,900400,846000,330600,278100,389400,1869700,4037200,337200
02/2017,275420,36870,86390,256540,39350,56880,88950,11820,13080,129780,138170,47760,38450,65570,301270,586470,42710
03/2017,394370,53400,119160,364810,60750,80510,132120,17260,24310,203260,215130,76390,62060,98910,472060,923160,69430
04/2017,511860,70750,150660,477880,78360,102850,173640,22700,33050,275830,289410,100560,84970,132230,633050,1240180,95710
05/2017,636680,89510,183740,594490,98020,127990,218000,28350,41520,352910,366490,125760,109490,163980,794980,1578640,122400
06/2017,769460,110410,220230,717170,120290,152770,268920,35590,52400,448250,450630,161470,137490,207310,968090,1942280,153880
07/2017,894940,131110,253770,823740,138490,173780,313980,41620,58540,530740,524990,189680,162230,241640,1128540,2277870,183140
08/2017,1023360,151710,289010,931350,158860,197210,360110,47140,65140,606980,605170,219820,186620,277700,1294380,2633320,211970
09/2017,1170980,173260,333070,1053370,180620,223040,410720,53820,77220,686120,695150,254130,214530,314990,1470660,3026150,243430
10/2017,1300810,192320,370470,1188250,201580,248100,459240,60290,86990,765150,770790,285610,239540,342560,1650870,3392900,270440
11/2017,1401640,208760,405260,1325250,228520,270240,507690,67800,100900,858100,855760,325530,255230,395750,1816330,3780510,291850
12/2017,1533220,227350,442970,1455660,251370,296950,551170,74310,115670,945390,948150,366130,280890,433020,1974340,4222190,322120
02/2018,247250,33110,79750,239700,42220,50910,84810,10660,11010,123920,89090,43490,31430,68620,297870,611840,32450
03/2018,348860,48260,107780,345060,66850,74670,126650,16280,22810,197230,136260,68860,48090,100040,456550,939780,52220
04/2018,446870,63570,135060,452090,85570,93940,165560,21240,30970,265520,181390,92250,65530,131440,616510,1247170,72260
05/2018,550540,79480,162960,556410,105730,116640,206580,25750,39900,336680,225550,114200,83820,160130,778780,1558800,93250
06/2018,666180,98270,194340,665090,127620,138330,253880,32930,53140,428250,273150,147580,105320,208160,941400,1867030,116570
07/2018,770440,115350,221470,760190,145590,157410,293750,38760,60170,496510,317160,172530,123980,242310,1103730,2169820,137700
08/2018,875230,132620,248410,852120,165390,181110,339100,43880,67340,561420,361290,197950,142080,275960,1270210,2473510,156260
09/2018,998530,150790,285460,958140,186830,204410,386040,49330,80730,630720,410930,226920,160880,313490,1442630,2806830,177570
10/2018,1117550,168680,316950,1079360,209410,226420,430860,54680,90450,701980,455520,253360,182000,346690,1618520,3132340,200350
11/2018,1241970,186310,350230,1219760,237470,249420,485400,62060,105260,796460,509050,289730,204160,396760,1787280,3478260,225250
12/2018,1377610,204020,387320,1370650,261900,275830,539170,68430,120680,886300,559300,326410,224980,437150,1954110,3894830,249820
02/2019,254900,32500,77000,233200,45100,50500,93700,9750,13980,121100,93000,44300,25700,73600,303000,597600,26400
03/2019,362770,48210,106100,342260,75290,72480,141020,15150,26720,202840,144030,69210,41430,109280,473050,916000,42020
04/2019,465680,63880,132340,441810,96190,91260,185060,20040,36880,271260,193010,93600,55790,142600,632530,1221730,57050
05/2019,576410,80410,159690,545890,119500,113590,229800,24780,46690,344820,243090,116320,71180,176150,799030,1542280,72990
06/2019,696480,99280,191050,656030,146180,135380,282640,31360,59870,439220,293740,148230,89620,224430,968990,1911340,90740
07/2019,806370,117330,219890,749870,166620,152920,329390,36470,66980,511260,342360,173900,106180,258090,1128820,2214670,108250
08/2019,923260,134980,249680,842690,189330,173480,379100,42020,74720,578330,381070,202560,122020,294230,1294820,2512310,126250
09/2019,1057360,154810,286510,947940,215070,193800,433790,48140,89700,651680,431580,228260,139630,337910,1469680,2852810,144910
10/2019,1180760,172300,317320,1062370,238160,213390,484500,53760,99780,719490,480110,253120,156850,381330,1641180,3171200,163040
11/2019,1306500,191190,350330,1201600,270790,233710,548860,62010,115330,820590,532450,289930,175750,437950,1825110,3492170,183430
12/2019,1452500,209930,391320,1351660,299220,260580,611120,69350,133310,913870,590710,322830,197030,483880,2004150,3938940,206070
02/2020,259090,30840,59950,153400,38710,27720,83720,9120,9400,80520,78110,39280,14200,66490,223910,365410,15220
03/2020,385780,46760,84620,225190,63630,42910,131950,14330,22820,138940,120790,65870,24760,106200,362710,632610,27800
04/2020,499630,63460,110850,305700,87600,58280,178730,20300,31780,200180,164410,92280,35920,145150,499840,940020,40480
05/2020,620590,81930,139230,406720,114940,78460,231080,25860,42700,274610,207660,116160,49540,183120,644300,1278450,55240
06/2020,745350,102640,172610,511990,147750,97680,292700,33770,58270,377050,253530,150970,65740,241410,791580,1638750,71240
07/2020,855980,121410,200060,595860,170820,115040,341030,39320,66460,442680,293590,176940,79320,280580,925960,1956920,85620
08/2020,973380,141040,230440,693640,199590,138940,398250,45560,75490,513140,335920,206230,92880,329570,1070190,2289020,100500
09/2020,1110970,163760,272260,804500,229340,161210,457660,52110,91160,581920,381510,238640,108590,371180,1222940,2673630,116480
10/2020,1242240,184350,307530,933940,256870,183350,514640,58560,102070,651910,428500,267850,124420,418080,1378060,3047290,132870
11/2020,1377230,208070,346020,1084890,307580,209110,587030,69570,119990,756550,479660,310380,140900,500740,1532260,3453110,152640
12/2020,1528340,229400,395360,1236460,340020,237600,650350,77420,139410,857060,535510,348460,159760,556710,1703880,3941420,174860
02/2021,282790,43870,86090,226230,55820,54480,109270,16070,12310,115170,87860,51500,22300,100540,273810,666050,22110
03/2021,414440,64430,121320,340130,93310,80210,171100,24770,28950,193110,137240,82480,35960,147400,448710,1060870,38200
04/2021,535440,85020,154940,444040,121550,102490,224970,32290,42490,256590,183850,110010,48500,191910,610160,1431050,53860
05/2021,661630,107350,187720,556770,153870,128280,284300,40390,55100,331380,229820,137040,61840,233020,783520,1801420,70090
06/2021,804720,135430,226760,673850,191700,152630,353970,51750,70500,442440,278670,180410,78070,300380,967340,2190730,88530
07/2021,929070,158710,258810,767250,215750,173010,410980,59350,78450,516500,324810,213220,91690,337600,1138240,2519840,103850
08/2021,1056320,181890,293890,856470,246190,198040,467200,67890,86260,583040,368780,247920,105270,379980,1306620,2848560,120140
09/2021,1208670,208830,343030,964140,278300,224640,526110,76060,103540,657960,419610,287720,120500,432350,1489990,3206570,137940
10/2021,1349790,230120,381710,1086130,309670,247470,583770,83580,117700,730380,467860,321060,133840,495240,1689790,3538280,154640
11/2021,1509800,256410,426160,1236330,367820,275640,664730,96030,135130,841800,522020,370720,149450,579350,1884340,3921540,175260
12/2021,1675910,280790,479080,1384250,402600,304110,742120,105970,153390,934020,582620,412160,166680,635360,2088400,4378660,196700
02/2022,310260,48090,101120,238180,61780,63880,123560,16690,15340,132130,94250,58910,21630,109690,347440,712060,24540
03/2022,457730,71640,138810,328470,94930,82770,183310,24210,31870,206710,149600,94440,33850,157740,540210,1073940,40590
04/2022,593600,93800,168570,408350,116810,98670,232960,30380,45010,265790,199030,121070,45020,192220,713110,1333550,54100
05/2022,743670,118370,205120,509340,147270,122130,291100,39730,57810,331430,252260,148970,57460,232580,902700,1659430,69680
06/2022,903180,147360,247520,628170,190490,147860,365810,52620,74670,446620,311070,197940,72960,303780,1112870,2118060,87990
07/2022,1037450,171860,282760,723870,216050,172650,422440,61910,83470,527770,359870,233050,86410,344810,1306820,2497030,102550
08/2022,1180910,197290,321790,820640,245270,199190,483110,71550,92180,599920,411330,271050,99780,384190,1505780,2889760,116510
09/2022,1352490,225740,368840,927260,277370,226130,544300,80450,111050,652410,470240,315590,114450,439950,1709870,3317390,133780
10/2022,1511110,249320,409020,1041380,308410,250840,605430,88730,125930,716850,524210,348500,128970,501620,1908020,3687330,150630
11/2022,1678830,274940,452500,1168750,365160,276960,679000,100440,143620,811420,584950,400530,145920,572300,2103440,4070010,169960
12/2022,1866770,302160,504570,1300340,393560,301370,751120,109560,164760,889010,670830,443870,163460,628360,2299840,4577190,191070
02/2023,349260,52150,110910,254890,65640,68350,131240,17280,17830,127690,114600,59290,23470,103000,388110,665810,24930
03/2023,507190,74500,152670,370270,104320,97040,198030,26900,37350,198860,176460,94810,36370,154100,596530,1082830,39340
04/2023,625090,92390,183020,465330,129910,118080,245520,35110,50500,253640,223630,119060,43470,194180,768250,1411360,47890
05/2023,753070,114580,217930,561910,161880,142630,303190,44440,64370,313340,272200,145200,53750,244720,947380,1789300,58280
06/2023,916100,143310,264130,683430,207140,168880,374790,58480,81690,427040,332100,189510,68500,322810,1142220,2240930,73530
07/2023,1059460,167450,303510,777600,231530,190500,430530,67590,90380,499300,382010,219900,81100,365120,1333290,2626530,85290
08/2023,1208240,192930,344570,876040,263900,218780,492190,77240,98960,565500,433400,254270,94100,408150,1534620,3039260,98230
09/2023,1388560,222710,402620,993520,296600,247160,556920,84740,119900,634450,491420,292920,108080,465810,1744350,3483720,113190
10/2023,1549600,247610,448930,1112640,329130,274930,616820,94450,134890,702550,546790,328450,122150,535790,1946990,3896840,126760
11/2023,1717980,273410,499320,1259530,384310,302440,692320,107950,154740,797020,609500,374290,137710,618470,2132690,4327990,141730
12/2023,1888680,299130,550690,1409480,414170,331040,757630,118550,175000,871870,670980,412600,151620,681400,2321850,4861400,156940
02/2024,369290,54140,126540,252100,67780,70820,128320,19310,18560,130950,113590,54290,22010,121550,393490,711240,23870
03/2024,539010,77770,172850,369360,108620,99640,195070,30690,40010,205310,177060,87160,34240,176690,604690,1116330,38690
04/2024,688260,100420,213010,471690,135650,121960,252110,40770,53570,267820,233750,112870,44670,224630,795300,1462990,50420
05/2024,849910,126010,254970,585550,176280,145810,319660,52500,67220,342070,291370,142170,57020,285580,993690,1852970,63150
06/2024,1035270,156400,305550,709830,216810,172460,392320,66790,84880,448740,353360,183850,72060,369180,1202620,2296180,78180
07/2024,1199060,183420,346930,803320,241020,192880,451510,77380,93950,522090,407800,215400,85050,421110,1404140,2673580,91140
08/2024,1369310,210470,391900,904640,272970,218590,516670,87760,102480,594010,463740,251480,97920,476530,1610490,3067990,104000
09/2024,1577110,241340,452560,1022470,306850,245390,584790,99130,125290,683940,523510,296750,114280,545920,1820100,3536110,118580
10/2024,1765770,267470,500210,1157080,356260,272010,655630,112850,140130,790770,581510,341980,130300,633080,2017870,3992110,133690
11/2024,1958600,293880,552400,1307310,401460,299730,735170,128280,158240,918890,646730,388050,150490,716900,2202110,4476320,150990
12/2024,2173680,320030,615900,1469050,435650,329980,809120,141540,176770,1030750,715670,432740,169110,790160,2400170,5031350,169220
02/2025,422950,53900,136380,262410,72030,75470,138570,24720,19080,153660,117590,67630,26210,159390,401860,689270,24560
03/2025,621030,79320,187950,386930,114860,107970,212930,39900,40460,254250,182680,110140,42890,236670,608170,1123680,39530
04/2025,797960,103830,230510,493880,145420,136910,276700,53240,53010,346880,240580,145830,58340,299240,791750,1483990,53020
05/2025,989290,130440,278680,613840,188880,166370,350730,69080,65590,464050,298690,186470,75740,387130,978710,1884710,66330
06/2025,1195190,161970,331610,742590,229080,194760,431480,85760,81440,608550,361070,240620,98210,489010,1171870,2346830,82440
07/2025,1374100,190550,374030,837070,256180,216770,496300,98780,89980,707410,416090,278280,115910,556020,1355250,2722400,95990
08/2025,1557930,218990,419370,940040,291510,247460,568520,110930,99630,795720,471700,321890,133530,620080,1546400,3126330,108800
09/2025,1777840,250130,480790,1061270,328820,276810,640790,124000,120780,888330,535060,370240,151680,702520,1736890,3592320,123500
10/2025,1972690,277400,530080,1205280,381290,313120,716250,139670,134970,975270,595520,421240,169510,810530,1912980,4000900,136500
11/2025,2176570,304480,578980,1359670,428500,341400,792160,155240,152730,1074920,660390,474590,189490,912890,2078140,4443000,150980
