,yanjiu,liangyou,yinliao,huazhuang,zhubao,qiuqi,shu,jiadian,wenju,tongxun,jiaju,riyong,yaopin,shiyou,zhuangxiu,qiche,yifu
04/2012,17990,59630,8760,9890,16110,3160,7400,45910,15030,11220,10980,24350,36910,139750,13700,173800,68210
05/2012,18760,60730,9450,10210,17950,3090,6620,49930,16330,11120,11880,25810,39060,140040,15190,192150,72010
06/2012,21470,67000,10440,10350,16690,3220,7480,50390,18750,12440,13320,27710,40070,137940,17590,195730,72990
07/2012,20160,62810,10650,9720,14990,3240,5230,49720,18010,12250,12550,26720,39380,135050,15750,184470,65140
08/2012,20470,66730,10860,10110,17880,3380,5460,46650,19450,12650,12820,27860,40150,140450,16410,195370,66890
09/2012,26320,76330,11600,11500,17720,3700,8210,51830,19890,13900,14210,29450,45010,148830,18130,205780,80070
10/2012,23720,76010,11800,12120,18350,3730,7480,58470,20680,13740,15660,30180,40000,148750,19730,198720,90550
11/2012,24390,76340,11480,12470,18110,3610,10030,50360,20950,13870,15810,30420,43800,144610,20860,221450,101110
12/2012,28260,88310,12210,13590,22510,4390,12290,64740,23220,15570,18870,34180,47280,151360,23810,268140,116200
03/2013,22820,73310,10890,13970,22990,3510,7890,50360,18440,15140,14710,30430,45620,155040,17730,218870,84830
04/2013,21020,71120,10800,12230,30260,3480,7680,56290,16940,14880,14240,29210,46760,149620,17270,218440,79860
05/2013,22300,73860,11810,12460,26850,3480,7180,62900,18250,15560,15180,30780,47050,150560,18730,233290,84660
06/2013,24490,80650,13010,12800,23770,3500,8220,57200,21010,16980,16560,32530,50330,153950,21590,240830,88580
07/2013,23580,75670,12860,11350,22710,3420,5470,54740,20520,16390,15390,31370,46890,149750,20190,225090,76090
08/2013,24750,78930,13350,12590,22920,3420,5850,53280,21240,16210,16110,32910,47070,159520,20630,230650,78570
09/2013,31450,92550,14330,14080,21800,4020,9280,60440,21730,16670,17470,34950,54640,164260,23700,256740,93770
10/2013,27630,89580,13790,14780,22080,3950,8470,66360,21480,18340,19470,33860,50780,166400,25000,249790,103290
11/2013,29690,91060,13880,14800,21960,3990,10890,60420,23600,19670,19830,35810,54320,164810,26580,269550,113760
12/2013,34210,105060,14710,16230,26770,4820,11800,71540,26510,20900,22290,39670,60670,172260,29830,329570,132260
03/2014,24550,84340,12060,15910,22270,3780,9160,55380,19290,17710,17390,32550,53160,168130,19930,266930,91170
04/2014,23580,82090,12540,13590,20840,3530,8060,56860,19040,19060,16410,31980,55160,163730,19980,261940,89420
05/2014,24470,84560,12870,14260,23580,3600,7960,65750,19340,18860,17090,33490,53840,167180,20750,260250,92170
06/2014,27770,95310,14690,14970,24180,3900,9580,68910,22050,22230,19220,37250,57610,174600,25220,276940,97790
07/2014,25820,89050,14320,13640,20350,3730,6060,62320,20890,20480,18200,35220,55010,169730,22900,261020,85610
08/2014,28190,94360,14580,14230,24600,3690,5850,57740,20840,20830,18560,36110,55410,171060,22750,252690,88400
09/2014,32970,103990,15500,15930,24140,4460,10370,65440,23080,21060,20060,38780,63740,171710,24960,291870,103660
10/2014,30600,104440,15540,16110,24770,4310,9310,70990,22800,25790,22240,38460,59200,173820,27310,282050,113580
11/2014,31760,105260,15280,16320,23160,3920,11830,64820,23140,29990,21810,39530,59950,163020,28200,283470,123090
12/2014,38780,124570,17600,18170,28380,4400,12890,80770,29930,33830,25620,44450,71900,175940,34520,374570,146680
03/2015,27810,98010,13840,17710,25840,4010,10140,62680,22930,24440,19110,37190,60200,153230,21570,268400,100870
04/2015,25750,93290,13900,14780,22470,3930,8830,60520,20760,25910,17780,35380,62630,149540,21690,273250,96110
05/2015,27660,98800,15210,15960,26060,4180,8630,68420,21840,27060,19580,37500,60970,157540,23720,281340,103560
06/2015,30770,112020,17200,16790,24570,4520,10240,75040,26930,31160,21850,40750,67560,163950,26840,295970,106790
07/2015,29190,103170,16410,14730,21450,4240,6550,65270,23690,27130,19470,38630,63070,155580,24460,272060,92830
08/2015,30880,107980,16980,16060,25020,4420,6250,65380,24210,27400,20130,39090,64490,154070,25370,275850,94660
09/2015,37670,124200,18250,17910,23900,5130,11180,71340,28560,32190,22260,41340,71970,157660,27980,307630,110640
10/2015,34210,120630,17390,18100,24910,4770,9850,73730,26300,36260,23530,42550,64700,157840,29440,311750,122060
11/2015,36400,126340,17460,19660,24940,5800,13090,79880,29910,39600,24050,45980,72640,160090,31850,336810,138220
12/2015,42490,145590,19720,20380,30830,5920,14010,88300,32780,35270,26950,49930,81240,169210,37370,416460,151700
03/2016,29590,109520,14790,19500,22700,4650,10240,66630,23890,28900,21790,40370,68750,153740,23970,307610,105850
04/2016,28730,105380,15270,16260,22160,4750,8420,66650,23870,29140,20650,39310,65660,144150,24880,289890,104200
05/2016,29980,110710,16310,17200,23950,4820,8470,68310,23690,30230,21990,42170,66650,150310,27170,311500,109380
06/2016,33640,124330,18780,18190,24170,5430,9590,84150,30070,35560,24820,46540,71120,165320,29570,330870,116160
07/2016,31270,113470,18260,16090,20930,4510,6470,72980,25110,29940,22390,42480,64980,152640,27660,303090,101640
08/2016,33880,119020,18770,17010,23370,4680,6260,70140,27330,30000,22470,43590,69850,158720,28770,319680,100160
09/2016,40250,137450,19850,19130,24940,5400,10780,77350,31170,33360,24240,46950,77050,162000,30600,355800,117010
10/2016,36420,132420,18970,18610,25470,5200,9270,79320,29300,33310,26250,46760,70150,164950,31750,345330,130190
11/2016,39680,139200,19390,21410,25660,6970,13470,92230,35400,40350,26340,51750,78740,168580,33840,388620,146150
12/2016,46500,158600,22400,22700,32300,7060,14020,97900,37900,38400,30000,58900,85700,180100,39200,487300,162900
03/2017,33130,121650,16930,21490,23640,5430,11240,74570,28330,33030,24070,43210,77120,170190,26820,338860,110060
04/2017,31020,117430,17480,17650,22870,5430,8780,72890,24020,31640,22900,41350,74240,160980,26540,313630,112550
05/2017,33100,124810,18750,19610,25110,5670,8500,77370,25100,31780,24500,44400,77000,163230,27800,337980,115910
06/2017,36290,135960,20840,21460,24460,7260,10740,94890,35540,42750,27730,49830,82280,171710,31320,365150,122040
07/2017,33380,124590,20580,18360,20710,6010,6260,82390,28360,34210,24650,44530,74460,161000,29180,331990,105960
08/2017,35090,128230,20390,20010,24480,5600,6550,75990,29630,35980,24410,46330,79240,165620,28840,353310,106980
09/2017,43620,147560,21520,22180,25290,6450,11960,81550,33790,36410,27610,49470,89180,175750,30950,391000,122380
10/2017,39330,143180,20140,21980,25570,6540,9790,81580,31880,34250,27850,49450,77470,177490,31090,372860,138130
11/2017,40340,142130,20080,28210,25380,8330,13800,97180,40150,55690,27710,54540,88600,183690,31660,410340,156080
12/2017,45300,160000,23070,26150,30940,7490,15210,101170,43380,42940,30980,55660,97300,190780,36280,496320,166420
03/2018,28750,103700,15270,24890,23620,5640,11910,74610,27260,31840,17800,42350,47090,159270,19640,330020,106110
04/2018,27310,99260,15340,19630,20270,5200,8180,68760,23610,31540,17410,39340,45900,160320,20070,306810,105750
05/2018,27800,103850,16070,20130,22680,4800,8930,71340,22710,30300,18390,40800,46350,162690,21150,310890,105340
06/2018,31480,115100,18580,21720,22060,6540,13430,91920,31750,45260,21340,46980,48440,166210,23640,308900,109990
07/2018,28150,106320,17790,18440,19390,5210,6940,71590,23810,33470,19140,41190,45280,166390,21920,306850,96110
08/2018,29750,109740,17730,20310,24350,5250,7120,68210,24960,35090,18800,44940,46320,173340,21460,323930,95420
09/2018,37850,127080,18990,22210,23580,5510,13700,72170,29460,38590,20510,47790,51350,176510,22580,338810,108520
10/2018,31750,118930,17630,21820,22270,5420,9440,71140,26590,33410,21320,44750,48010,179490,23710,325360,121580
11/2018,33420,125450,17720,28000,23010,7370,14750,94580,36030,48510,22120,53770,53230,169530,25340,345930,141750
12/2018,39360,140260,18660,24720,27570,6560,15500,93640,38570,40640,25050,54450,57410,173640,27980,426750,154050
03/2019,28740,108090,15650,28080,21820,5330,12690,82050,24940,36480,15800,47080,50220,168960,15780,317920,108120
04/2019,25860,102180,15480,21000,18550,4970,9980,68290,24190,33750,14260,43820,49270,159910,15070,305390,100010
05/2019,27230,109340,16690,23390,22010,4990,9710,72930,23080,33400,15150,44920,49550,166770,15830,322280,104410
06/2019,31140,119620,18760,26520,21790,6540,13160,96310,32130,47670,18430,52290,51160,170460,17890,366880,109140
07/2019,28720,110730,18030,20170,17490,5270,7180,71340,25800,33830,16250,46240,48530,164120,17280,305620,93410
08/2019,31220,117650,18320,23190,21240,5460,7770,68660,28810,36480,16130,50390,47630,170960,18060,305170,94600
09/2019,37180,134120,19630,25500,20470,5950,14930,73000,28460,42190,17800,53410,52220,175400,18990,339750,105840
10/2019,30810,124090,18020,23370,19860,5600,10120,67810,24950,41810,17450,50590,48420,171740,19450,322810,115320
11/2019,33780,130460,18750,33060,21200,8290,15930,101370,36750,55560,19330,64310,52290,172020,20460,346510,142700
12/2019,41140,146530,19760,27960,26790,7240,17980,92990,33320,44710,21230,61560,58150,181520,22670,442810,149050
03/2020,24110,123870,15720,24950,14720,5010,13300,56940,26430,39250,10510,46730,44810,138410,12520,260900,68900
04/2020,26110,115440,16630,22360,15470,5570,8920,60680,26150,38610,11530,47100,43330,138610,12920,308270,79870
05/2020,28300,115960,18300,27020,20310,5880,10860,73760,23780,37960,13360,52530,43070,144820,14610,337610,101780
06/2020,32980,125220,20980,32590,19340,8130,15530,102550,34860,57620,15870,61460,46140,149480,16300,361220,105930
07/2020,28310,113020,18930,22960,17880,5760,8280,68480,26430,38820,13710,49420,41710,142760,15050,330830,88930
08/2020,30620,118080,19920,28450,23480,6280,9090,71550,29060,48230,13850,57350,42840,148060,15200,341280,96720
09/2020,42100,138930,22780,29630,22200,6530,15900,70570,32340,41130,15700,59710,47090,156040,16570,386620,112480
10/2020,34450,129140,20180,28150,22230,6130,10800,68410,28570,46230,15730,56610,45820,154050,17160,370850,127400
11/2020,37980,136130,21830,51090,25760,10680,17910,104800,42410,82330,16780,71040,50290,153240,18810,401680,149750
12/2020,50380,152530,22160,32420,28910,7640,19640,100920,38050,56470,19400,66100,55270,174230,22680,487110,152660
03/2021,34700,130690,21150,36750,25920,8600,16610,77620,31060,45660,13520,60860,49340,174160,16090,392990,112950
04/2021,32620,120910,20730,27220,22210,7580,12560,63490,27410,43450,12620,54460,46700,164240,15540,368470,103050
05/2021,32550,126590,22250,31860,26230,8060,12250,74830,27230,40990,13340,58860,46270,174210,16360,368810,112990
06/2021,39180,141940,27970,37930,24010,11360,15060,110540,43310,65940,16080,69250,50410,182320,18260,386670,117430
07/2021,32510,124610,23330,23930,20310,7610,8210,74070,30340,38690,13750,55110,45610,175320,15750,334720,94460
08/2021,34920,128720,23170,29390,25020,8530,7820,67710,34650,41020,13650,56180,46440,168400,16150,328010,89960
09/2021,48990,150580,26150,31680,26250,8210,17510,73940,39630,50770,15080,58360,50810,184030,17480,353540,106290
10/2021,38950,141540,22480,30990,24750,7570,14010,73460,32390,63100,14870,58390,48160,200450,17830,339680,122720
11/2021,43160,155210,26120,57060,27020,12160,17460,110480,49620,82470,16710,78220,54510,194030,20040,377700,148410
12/2021,53360,166300,24900,34140,28940,9990,18350,93330,41700,56160,17610,76660,59930,203610,21760,465130,148720
03/2022,38290,147670,23560,34470,20450,7850,16810,75220,35560,48630,12550,60500,55180,193750,16280,367310,96020
04/2022,31180,135660,22050,21380,15840,6600,13040,59400,27150,34740,11080,49530,50500,174010,14160,256720,79110
05/2022,35150,146350,24160,29090,22050,8260,12560,67830,27500,39360,12170,56200,52290,191800,15610,318550,95850
06/2022,42630,158000,28740,42430,25680,12770,16580,115510,48860,72420,15400,73970,57630,211490,17900,455060,119770
07/2022,36590,136590,24370,25300,24670,8730,8630,80810,35070,42490,13430,57220,50350,203020,15180,382420,96430
08/2022,39490,143660,25470,28790,26780,9460,8260,72420,38300,41240,13120,60370,51920,200040,15510,397470,96350
09/2022,46510,167680,27770,31740,26600,8810,19000,71010,44250,55330,14450,63240,56900,205500,16820,421290,107170
10/2022,40280,158660,24040,30890,24560,8030,14830,64610,32810,59510,14400,58820,53770,204860,17000,369530,115480
11/2022,43980,165870,25190,56230,25630,11550,17690,93790,49980,69730,16900,72980,60470,192920,18810,378760,127560
12/2022,51400,189360,27190,29020,24550,9080,20900,79440,43250,55620,17370,71950,85810,199870,20720,510470,132060
03/2023,42960,160770,23050,39340,28760,9550,19540,72320,35220,51440,13360,67030,62630,212860,15210,426490,116430
04/2023,36410,139470,21130,27620,23060,8640,13620,60900,25960,41020,10860,54840,52440,192580,11920,362020,105140
05/2023,37470,143830,23200,32980,26560,9500,14070,64180,27000,50810,11540,60850,54490,190000,12130,392790,107580
06/2023,46000,163060,28680,45080,26750,14080,17240,113750,44070,78160,14490,71470,59170,196860,15220,452590,123830
07/2023,39120,143080,24340,24700,21840,9100,8680,72610,30520,44660,12610,56600,50870,197370,12190,385460,96140
08/2023,41390,149270,25000,32120,28330,9590,8460,67220,35260,45510,13020,61560,52290,207000,12800,411230,98170
09/2023,56760,178200,29260,32570,27910,9810,20920,67310,38410,56700,13800,63350,57400,213860,14300,438250,113930
10/2023,45770,162410,24630,31740,26420,10300,14920,68450,35310,69880,13740,61520,56430,207030,14740,413510,120710
11/2023,50290,167290,25640,54850,27830,13780,18910,94610,45960,82630,16360,74890,62660,195310,15400,431440,150250
12/2023,54340,190580,27580,32280,30400,10940,20460,77250,39280,62780,16480,66970,68170,203370,16960,541970,157620
03/2024,46170,168950,23700,41100,29080,11390,21430,73710,33040,56040,12100,66630,63380,209190,14810,405170,118160
04/2024,40730,152140,22970,27840,23130,10030,13530,64120,25830,48030,10990,58080,56500,194870,12050,350330,104830
05/2024,42170,161520,25550,40550,23980,11840,13610,74290,29400,61040,12340,66920,57730,200900,12450,387460,114760
06/2024,50340,183290,29820,40460,26190,14210,17780,106370,41360,81970,14810,71650,62630,207410,15050,436740,123680
07/2024,40990,161950,26800,24540,20010,10490,8950,73020,31180,52130,12900,59370,54790,203480,13020,379850,93570
08/2024,44850,169580,26680,31900,25720,10360,8420,71810,36160,54040,12900,63920,55680,209350,12880,394300,99400
09/2024,58780,203710,30060,32930,26360,10920,22530,84130,44100,66260,14200,66940,61540,207380,14280,453890,116880
10/2024,48020,184380,25410,46840,26350,13580,14700,99290,43770,83500,15190,69200,58310,196770,14960,445240,134650
11/2024,51080,189440,25450,43370,26820,14830,17360,120000,45280,79260,18980,75770,62230,185250,17120,476480,148050
12/2024,63240,218530,26330,34470,30980,13370,18430,113250,45040,74270,19360,73790,69500,202390,18580,566250,162940
03/2025,51520,197890,25590,42820,32480,15150,21280,100070,42120,76470,16810,74120,64980,207340,15120,433010,124050
04/2025,43590,179880,24630,30870,29650,13180,12520,91380,35860,61990,15280,64430,58840,186380,13800,362620,108780
05/2025,48240,191850,26740,43460,29950,16170,12610,116620,39880,87070,17010,74130,58820,189480,13750,400970,122540
06/2025,51590,205010,29630,40720,28680,16490,16000,140330,53340,100600,20770,79350,62900,194650,15780,463800,127540
07/2025,43280,181700,28530,26510,22100,12730,8670,97830,37330,65680,16990,66490,55850,189480,13500,384900,96130
08/2025,44990,184810,28470,34850,30580,12710,9690,86100,43010,62820,16850,71290,57190,195530,13340,409310,104510
09/2025,61480,222080,30820,36840,29330,12940,21060,90430,48510,81190,17560,73230,63660,195050,14740,471130,123050
10/2025,51070,206770,28200,52280,36680,15680,14470,89110,51570,107990,17900,76390,61210,187320,14430,425520,147080
11/2025,50200,206000,26900,46780,29190,15450,17690,100030,52410,99810,19540,76340,66040,172220,14930,445450,154160
